category	module	class	method	patch_status	restore_status	source_file	source_line	signature
model_execute	vllm.v1.worker.gpu_model_runner	GPUModelRunner	_pp_receive_prev_sampled_token_ids_to_input_batch	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu_model_runner.py	4118	(self) -> None
model_execute	vllm.v1.worker.gpu_model_runner	GPUModelRunner	_sample	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu_model_runner.py	3086	(self, logits: torch.Tensor | None, spec_decode_metadata: vllm.v1.spec_decode.metadata.SpecDecodeMetadata | None) -> vllm.v1.outputs.SamplerOutput
model_execute	vllm.v1.worker.gpu_model_runner	GPUModelRunner	execute_model	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/torch/utils/_contextlib.py	3536	(self, scheduler_output: 'SchedulerOutput', intermediate_tensors: vllm.sequence.IntermediateTensors | None = None) -> vllm.v1.outputs.ModelRunnerOutput | vllm.v1.outputs.AsyncModelRunnerOutput | vllm.sequence.IntermediateTensors | None
model_execute	vllm.v1.worker.gpu_model_runner	GPUModelRunner	sample_tokens	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/torch/utils/_contextlib.py	3869	(self, grammar_output: 'GrammarOutput | None') -> vllm.v1.outputs.ModelRunnerOutput | vllm.v1.outputs.AsyncModelRunnerOutput | vllm.sequence.IntermediateTensors
model_execute	vllm.v1.worker.gpu_model_runner	GPUModelRunner	synchronize_input_prep	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/contextlib.py	3243	(self)
model_execute	vllm_ascend.worker.model_runner_v1	NPUModelRunner	_copy_valid_sampled_token_count	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu_model_runner.py	4193	(self, next_token_ids: torch.Tensor, valid_sampled_tokens_count: torch.Tensor) -> None
model_execute	vllm_ascend.worker.model_runner_v1	NPUModelRunner	_dummy_sampler_run	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/torch/utils/_contextlib.py	2522	(self, hidden_states: torch.Tensor) -> torch.Tensor
model_execute	vllm_ascend.worker.model_runner_v1	NPUModelRunner	_get_valid_sampled_token_count	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu_model_runner.py	4212	(self) -> list[int]
model_execute	vllm_ascend.worker.model_runner_v1	NPUModelRunner	_pp_broadcast_prev_sampled_token_ids	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu_model_runner.py	4104	(self, sampled_token_ids: torch.Tensor) -> None
model_execute	vllm_ascend.worker.model_runner_v1	NPUModelRunner	_pp_receive_prev_sampled_token_ids_to_input_batch	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu_model_runner.py	4118	(self) -> None
model_execute	vllm_ascend.worker.model_runner_v1	NPUModelRunner	_sample	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/vllm_ascend/worker/model_runner_v1.py	1612	(self, logits, spec_decode_metadata)
model_execute	vllm_ascend.worker.model_runner_v1	NPUModelRunner	_update_streaming_request	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu_model_runner.py	1381	(self, req_id: str, new_req_data: vllm.v1.core.sched.output.NewRequestData) -> vllm.v1.worker.gpu_input_batch.CachedRequestState
model_execute	vllm_ascend.worker.model_runner_v1	NPUModelRunner	execute_model	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/torch/utils/_contextlib.py	1107	(self, scheduler_output: 'SchedulerOutput', intermediate_tensors: vllm.sequence.IntermediateTensors | None = None) -> vllm.v1.outputs.ModelRunnerOutput | vllm.sequence.IntermediateTensors | None
model_execute	vllm_ascend.worker.model_runner_v1	NPUModelRunner	sample_tokens	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/torch/utils/_contextlib.py	1439	(self, grammar_output: 'GrammarOutput | None') -> vllm.v1.outputs.ModelRunnerOutput | vllm.v1.outputs.AsyncModelRunnerOutput | vllm.sequence.IntermediateTensors
model_execute	vllm_ascend.worker.worker	NPUModelRunner	execute_model	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/torch/utils/_contextlib.py	1107	(self, scheduler_output: 'SchedulerOutput', intermediate_tensors: vllm.sequence.IntermediateTensors | None = None) -> vllm.v1.outputs.ModelRunnerOutput | vllm.sequence.IntermediateTensors | None
model_execute	vllm_ascend.worker.worker	NPUWorker	execute_model	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/vllm_ascend/worker/worker.py	363	(self, scheduler_output: 'SchedulerOutput') -> vllm.v1.outputs.ModelRunnerOutput | vllm.v1.outputs.AsyncModelRunnerOutput | None
model_execute	vllm_ascend.worker.worker	WorkerBase	execute_model	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/worker_base.py	129	(self, scheduler_output: object) -> object | None
model_execute	vllm_ascend.worker.v2.model_runner	NPUModelRunner	_dummy_sampler_run	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/torch/utils/_contextlib.py	461	(self, hidden_states: torch.Tensor) -> None
model_execute	vllm_ascend.worker.v2.model_runner	NPUModelRunner	execute_model	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/torch/utils/_contextlib.py	874	(self, scheduler_output: vllm.v1.core.sched.output.SchedulerOutput, intermediate_tensors: vllm.sequence.IntermediateTensors | None = None, dummy_run: bool = False, skip_attn_for_dummy_run: bool = False) -> vllm.v1.outputs.ModelRunnerOutput | vllm.sequence.IntermediateTensors | None
model_execute	vllm_ascend.worker.v2.model_runner	NPUModelRunner	sample	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu/model_runner.py	795	(self, hidden_states: torch.Tensor, input_batch: vllm.v1.worker.gpu.input_batch.InputBatch, grammar_output: vllm.v1.core.sched.output.GrammarOutput | None) -> tuple[vllm.v1.worker.gpu.sample.output.SamplerOutput, torch.Tensor, torch.Tensor]
model_execute	vllm_ascend.worker.v2.model_runner	NPUModelRunner	sample_tokens	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/torch/utils/_contextlib.py	1063	(self, grammar_output: vllm.v1.core.sched.output.GrammarOutput | None) -> vllm.v1.worker.gpu.async_utils.AsyncOutput | vllm.v1.outputs.ModelRunnerOutput | None
